step,total,pde,ic,bc,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_data,val_rmse_data,gen_gap_rmse_data
1,3.6966443061828613,0.008017334155738354,0.6920555830001831,1.7146313190460205,0.0,1.2819398641586304,1.132227832266382,36.31611344909798,0.1640005111694336,2.146937370300293,0.011289916932582855,0.22418634593486786,1.400293231010437,0.5111678242683411,0.7149600158528735,-0.4172678164135084
2,2.044983386993408,0.011582151986658573,0.22418634593486786,1.2406647205352783,0.0,0.568550169467926,0.7540226584579047,19.834790590539463,0.4440293312072754,nan,nan,nan,nan,nan,nan,nan
3,1.3693530559539795,0.015704680234193802,0.0617380253970623,1.0803585052490234,0.0,0.21155185997486115,0.4599476709092689,6.3977362069097286,0.6179995536804199,nan,nan,nan,nan,nan,nan,nan
4,1.3783748149871826,0.01937601901590824,0.11466896533966064,1.1334346532821655,0.0,0.11089516431093216,0.3330092555934927,9.778830768923369,0.7860338687896729,nan,nan,nan,nan,nan,nan,nan
5,1.5901535749435425,0.02170199155807495,0.21950525045394897,1.2260576486587524,0.0,0.12288864701986313,0.3505547703567349,16.130053329260324,0.938995361328125,nan,nan,nan,nan,nan,nan,nan
6,1.6644492149353027,0.022640027105808258,0.2630278468132019,1.2455308437347412,0.0,0.13325048983097076,0.36503491590664416,18.013552198113032,1.0959956645965576,nan,nan,nan,nan,nan,nan,nan
7,1.5519756078720093,0.022495532408356667,0.23319637775421143,1.1862819194793701,0.0,0.11000179499387741,0.3316651850795881,16.599299815370824,1.2749958038330078,nan,nan,nan,nan,nan,nan,nan
8,1.356008529663086,0.021537696942687035,0.1649433672428131,1.0889393091201782,0.0,0.08058809489011765,0.28388042357675464,12.960986066899896,1.4519951343536377,nan,nan,nan,nan,nan,nan,nan
9,1.183754563331604,0.020008204504847527,0.0975634977221489,0.9961535334587097,0.0,0.0700293779373169,0.2646306443655324,8.191810885002429,1.6099939346313477,nan,nan,nan,nan,nan,nan,nan
10,1.0938791036605835,0.018165934830904007,0.05614196136593819,0.9341005086898804,0.0,0.08547066152095795,0.2923536582992557,3.9970003778548757,1.7909936904907227,nan,nan,nan,nan,nan,nan,nan
11,1.1074286699295044,0.01630416326224804,0.04549172893166542,0.9071837663650513,0.0,0.1384490430355072,0.3720874131645778,4.596931285047436,1.9629936218261719,nan,nan,nan,nan,nan,nan,nan
12,1.1621769666671753,0.014680885709822178,0.05383653566241264,0.9019173979759216,0.0,0.19174207746982574,0.43788363462206,7.724657426056179,2.118992805480957,nan,nan,nan,nan,nan,nan,nan
13,1.2104171514511108,0.013450388796627522,0.06373521685600281,0.8983145356178284,0.0,0.23491701483726501,0.4846823855240306,9.865406922468722,2.264993190765381,nan,nan,nan,nan,nan,nan,nan
14,1.203906536102295,0.012658355757594109,0.0633474662899971,0.8821085691452026,0.0,0.24579209089279175,0.4957742337927534,10.573713938426847,2.426992893218994,nan,nan,nan,nan,nan,nan,nan
15,1.1403348445892334,0.012283516116440296,0.05126109719276428,0.8501965403556824,0.0,0.22659362852573395,0.47601851699879694,9.823970724639093,2.5819926261901855,nan,nan,nan,nan,nan,nan,nan
16,1.0334300994873047,0.012265102006494999,0.034284673631191254,0.8088067770004272,0.0,0.17807354032993317,0.4219876068440081,7.860759832196044,2.738990545272827,nan,nan,nan,nan,nan,nan,nan
17,0.9301146864891052,0.01251236256211996,0.02223925292491913,0.7682214975357056,0.0,0.12714160978794098,0.3565692215937054,5.220581314322214,2.892993688583374,nan,nan,nan,nan,nan,nan,nan
18,0.8597273230552673,0.012924771755933762,0.022733990103006363,0.7371518015861511,0.0,0.0869167372584343,0.2948164467230997,2.4988159953721585,3.041990041732788,nan,nan,nan,nan,nan,nan,nan
19,0.8294773101806641,0.013379890471696854,0.03751809522509575,0.7190096378326416,0.0,0.059569697827100754,0.24406904315603148,2.3623026882560114,3.227989912033081,nan,nan,nan,nan,nan,nan,nan
20,0.8321763277053833,0.013736376538872719,0.06133822724223137,0.7105563879013062,0.0,0.04654531925916672,0.21574364245364616,4.585163550733021,3.402989387512207,nan,nan,nan,nan,nan,nan,nan
21,0.8473906517028809,0.013861489482223988,0.08419618755578995,0.7039124369621277,0.0,0.04542050138115883,0.213120860971325,6.3451391741321475,3.5619900226593018,nan,nan,nan,nan,nan,nan,nan
22,0.8489676713943481,0.013663136400282383,0.09640610963106155,0.6913282871246338,0.0,0.047570083290338516,0.21810567000960457,6.979224656550698,3.737989664077759,nan,nan,nan,nan,nan,nan,nan
23,0.828712522983551,0.013120620511472225,0.09381554275751114,0.6700085997581482,0.0,0.051767781376838684,0.2275253422738634,6.59475127522847,3.917987823486328,nan,nan,nan,nan,nan,nan,nan
24,0.7858508825302124,0.012285931967198849,0.07887081801891327,0.6430383324623108,0.0,0.051655787974596024,0.2272790970912108,5.261097893229321,4.086987495422363,nan,nan,nan,nan,nan,nan,nan
25,0.7405489087104797,0.011273356154561043,0.05854077637195587,0.6169488430023193,0.0,0.05378589406609535,0.23191786060175562,3.424583826814177,4.268987417221069,nan,nan,nan,nan,nan,nan,nan
26,0.7139366865158081,0.010225977748632431,0.04019051790237427,0.597404420375824,0.0,0.06611577421426773,0.2571298781049525,2.038329003816857,4.429546117782593,nan,nan,nan,nan,nan,nan,nan
27,0.7043232917785645,0.009300006553530693,0.028333988040685654,0.585708737373352,0.0,0.08098053187131882,0.28457078534403146,2.9963932337031953,4.604779005050659,nan,nan,nan,nan,nan,nan,nan
